duration_s,start_row,end_row,method,distance_m,endpoint_error_m,drift_percent,sequence
15,29697,29847,learned_speed_preoutage_mean_offset,131.93097222222224,21.450196329051934,16.25865099585683,S1
15,29847,29997,original_learned_speed,220.26788888888888,82.18232904219992,37.31017237998575,S1
15,29847,29997,constant_speed_with_gyro,220.26788888888888,29.796400341904857,13.527346401787707,S1
15,29847,29997,learned_speed_initial_offset,220.26788888888888,25.386875701268604,11.525454676725333,S1
15,29847,29997,learned_speed_preoutage_mean_offset,220.26788888888888,74.48267402676262,33.81458568585746,S1
15,29997,30147,original_learned_speed,219.74105555555553,85.83093192716711,39.06003441649396,S1
15,29997,30147,constant_speed_with_gyro,219.74105555555553,38.872996627746815,17.69036583967753,S1
15,29997,30147,learned_speed_initial_offset,219.74105555555553,45.69750415932835,20.79607019443619,S1
15,29997,30147,learned_speed_preoutage_mean_offset,219.74105555555553,61.200911297026124,27.85137767828422,S1
15,30147,30297,original_learned_speed,113.79191666666668,12.135106428900285,10.66429565858174,S1
15,30147,30297,constant_speed_with_gyro,113.79191666666668,21.33967428589956,18.753242682791228,S1
15,30147,30297,learned_speed_initial_offset,113.79191666666668,12.437204211670908,10.929778297085461,S1
15,30147,30297,learned_speed_preoutage_mean_offset,113.79191666666668,32.07995030713606,28.19176550220927,S1
15,30297,30447,original_learned_speed,108.69283333333334,16.543027440474436,15.219979950049852,S1
15,30297,30447,constant_speed_with_gyro,108.69283333333334,24.220304495559386,22.28325801507249,S1
15,30297,30447,learned_speed_initial_offset,108.69283333333334,24.74732043123283,22.768125250115688,S1
15,30297,30447,learned_speed_preoutage_mean_offset,108.69283333333334,47.55402334748379,43.75083608470088,S1
15,30447,30597,original_learned_speed,96.74044444444445,21.94879767312102,22.68833660954044,S1
15,30447,30597,constant_speed_with_gyro,96.74044444444445,13.683872179207434,14.144934166666692,S1
15,30447,30597,learned_speed_initial_offset,96.74044444444445,19.174949453937696,19.821026835316406,S1
15,30447,30597,learned_speed_preoutage_mean_offset,96.74044444444445,43.11324560591338,44.565895736268,S1
15,30597,30747,original_learned_speed,86.53450000000001,21.47626122056607,24.818149085701158,S1
15,30597,30747,constant_speed_with_gyro,86.53450000000001,4.608686188050198,5.3258367333840235,S1
15,30597,30747,learned_speed_initial_offset,86.53450000000001,8.039780744188528,9.29083861834127,S1
15,30597,30747,learned_speed_preoutage_mean_offset,86.53450000000001,42.41124529020688,49.01079371835149,S1
15,30747,30897,original_learned_speed,77.64599999999999,3.5434241320850925,4.563563006574831,S1
15,30747,30897,constant_speed_with_gyro,77.64599999999999,16.95910778226923,21.841573013766624,S1
15,30747,30897,learned_speed_initial_offset,77.64599999999999,12.113647010401502,15.601121771116999,S1
15,30747,30897,learned_speed_preoutage_mean_offset,77.64599999999999,21.456519075888487,27.633772603725227,S1
15,30897,31047,original_learned_speed,83.74588888888889,6.788599008764726,8.106187776896848,S1
15,30897,31047,constant_speed_with_gyro,83.74588888888889,7.778454686823852,9.288163025105666,S1
15,30897,31047,learned_speed_initial_offset,83.74588888888889,18.548791718165376,22.148898249531108,S1
15,30897,31047,learned_speed_preoutage_mean_offset,83.74588888888889,23.439248028828732,27.988535723738163,S1
15,31047,31197,original_learned_speed,94.74922222222222,3.7705723058277005,3.979528504185822,S1
15,31047,31197,constant_speed_with_gyro,94.74922222222222,27.712573117563945,29.24833836901335,S1
15,31047,31197,learned_speed_initial_offset,94.74922222222222,12.039526402598224,12.706728477792726,S1
15,31047,31197,learned_speed_preoutage_mean_offset,94.74922222222222,15.713379966389747,16.58417831603516,S1
15,31197,31347,original_learned_speed,63.35722222222222,10.241939487565945,16.16538593128794,S1
15,31197,31347,constant_speed_with_gyro,63.35722222222222,36.571034156647265,57.72196582163314,S1
15,31197,31347,learned_speed_initial_offset,63.35722222222222,10.666133620828603,16.83491360056425,S1
15,31197,31347,learned_speed_preoutage_mean_offset,63.35722222222222,12.271757909634704,19.369153948372517,S1
15,31347,31497,original_learned_speed,82.44336111111112,12.387561003700473,15.025540973524146,S1
15,31347,31497,constant_speed_with_gyro,82.44336111111112,37.568872186304176,45.56931168256423,S1
15,31347,31497,learned_speed_initial_offset,82.44336111111112,15.38048584462197,18.655820962822318,S1
15,31347,31497,learned_speed_preoutage_mean_offset,82.44336111111112,14.613050143874172,17.72495680298596,S1
15,31497,31647,original_learned_speed,24.43588888888889,12.301156308819674,,S1
15,31497,31647,constant_speed_with_gyro,24.43588888888889,58.410843531793745,,S1
15,31497,31647,learned_speed_initial_offset,24.43588888888889,5.759620774689008,,S1
15,31497,31647,learned_speed_preoutage_mean_offset,24.43588888888889,9.267409917960132,,S1
15,31647,31797,original_learned_speed,91.69200000000001,19.913855475372443,21.71820385134193,S1
15,31647,31797,constant_speed_with_gyro,91.69200000000001,12.18493840601196,13.288987486380448,S1
15,31647,31797,learned_speed_initial_offset,91.69200000000001,0.7558561677313856,0.8243425464941169,S1
